Region, Course, Date, Price, Id, Location, Currency, URL 
en-us, Integrated IT Service Management™ Essentials, Dec 16-18 2024, 2640.0, 6461, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Configuration Management Specialist™, Dec 04-05 2023, 2020.0, 6254, Web-Based, USD, https://www.pinkelephant.com/en-us/course/configuration-management-specialist 
en-us, Configuration Management Specialist™, Mar 18-19 2024, 2020.0, 6556, Web-Based, USD, https://www.pinkelephant.com/en-us/course/configuration-management-specialist 
en-us, Configuration Management Specialist™, Jun 10-11 2024, 2020.0, 6558, Web-Based, USD, https://www.pinkelephant.com/en-us/course/configuration-management-specialist 
en-us, Configuration Management Specialist™, Sep 16-17 2024, 2020.0, 6560, Web-Based, USD, https://www.pinkelephant.com/en-us/course/configuration-management-specialist 
en-us, Configuration Management Specialist™, Dec 05-06 2024, 2020.0, 6562, Web-Based, USD, https://www.pinkelephant.com/en-us/course/configuration-management-specialist 
en-us, IT Business Relationship Manager™, Sep 11-13 2023, 2640.0, 6173, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-business-relationship-manager 
en-us, IT Business Relationship Manager™, Nov 01-03 2023, 2640.0, 6383, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-business-relationship-manager 
en-us, IT Business Relationship Manager™, Feb 14-16 2024, 2640.0, 6515, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-business-relationship-manager 
en-us, IT Business Relationship Manager™, May 27-29 2024, 2640.0, 6516, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-business-relationship-manager 
en-us, IT Business Relationship Manager™, Aug 26-28 2024, 2640.0, 6518, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-business-relationship-manager 
en-us, IT Business Relationship Manager™, Dec 02-04 2024, 2640.0, 6520, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-business-relationship-manager 
en-ca, IT Business Leader™, Nov 30-01 2023, 2365.0, 6427, Anywhere, CAD, https://www.pinkelephant.com/en-ca/course/it-business-leader 
en-ca, IT Business Leader™, Feb 26-27 2024, 2365.0, 6541, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-leader 
en-ca, IT Business Leader™, May 30-31 2024, 2365.0, 6543, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-leader 
en-ca, IT Business Leader™, Sep 12-13 2024, 2365.0, 6545, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-leader 
en-ca, IT Business Leader™, Dec 09-10 2024, 2365.0, 6547, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-leader 
en-ca, Introduction to Integrated IT Business Management™, Sep 13 2023, 1820.0, 6382, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Introduction to Integrated IT Business Management™, Nov 09 2023, 1820.0, 6376, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Introduction to Integrated IT Business Management™, Jan 26 2024, 1820.0, 6378, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Introduction to Integrated IT Business Management™, Mar 25 2024, 1820.0, 6380, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Introduction to Integrated IT Business Management™, Jun 24 2024, 1820.0, 6481, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Introduction to Integrated IT Business Management™, Sep 23 2024, 1820.0, 6483, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Introduction to Integrated IT Business Management™, Dec 19 2024, 1820.0, 6484, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/introduction-to-integrated-it-business-management 
en-ca, Organizational Change Management, Oct 23-25 2023, 3160.0, 6276, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/organizational-change-management 
en-ca, Organizational Change Management, Jan 31-02 2024, 3160.0, 6486, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/organizational-change-management 
en-ca, Organizational Change Management, Apr 29-01 2024, 3160.0, 6488, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/organizational-change-management 
en-ca, Organizational Change Management, Jul 31-02 2024, 3160.0, 6490, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/organizational-change-management 
en-ca, Organizational Change Management, Nov 13-15 2024, 3160.0, 6492, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/organizational-change-management 
en-ca, Lean IT Essentials™, Oct 23-24 2023, 2365.0, 6232, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/lean-it-essentials 
en-ca, Lean IT Essentials™, Jan 22-23 2024, 2365.0, 6473, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/lean-it-essentials 
en-ca, Lean IT Essentials™, Apr 22-23 2024, 2365.0, 6474, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/lean-it-essentials 
